Author,Publishing Date,Text
[],10/14/2021,"These translations are done via Google Translate

he CAOEC’s State of the Industry will take place on Tuesday, November 23, 2021.

The State of the Industry is CAOEC’s capstone event for the year. In addition to an exclusive preview of the 2022 drilling forecast, the event includes a keynote speech and panel discussion with industry experts. Stay tuned for our keynote announcement coming soon!

WHEN: Tuesday, November 23 at 7:30 a.m.

WHERE: Calgary Petroleum Club

State of the Industry event Sponsorship offers an opportunity to demonstrate commitment and leadership in the industry, reach a large audience of key industry stakeholders, and increase brand awareness. For sponsorship opportunities click here.

Thank you to our Platinum Sponsors: geoLOGIC systems ltd. and RiggerTalk.

We look forward to sharing more details about the event soon!

Mark A. Scholz

President & CEO

Canadian Association of Energy Contractors

Sponsorship Opportunities

Share This:

More News Articles"
[],10/14/2021,"Monthly Oil Statistics

The latest IEA’s Monthly Oil Statistics report including July 2021 data shows that for Total OECD:

The IEA’s Monthly Oil Statistics features oil production for all OECD member countries, imports, exports, refinery outputs, net deliveries for major product categories for all OECD regions. The publication also includes total oil stock levels and stock changes for major product categories for all OECD Member countries. The latest dataset is available below in PDF or Excel.

We have now moved to a new integrated platform and in order to access data, all users will need to login using their IEA account. If you would like to access the data, please create your IEA account on this page . Once you are logged in, you can download the dataset here"
[],10/14/2021,"Monthly Gas Statistics

1Transit volumes are included. Trade amounts include intra-regional trade.

The IEA’s Monthly Natural Gas Statistics features natural gas production, consumption, total imports and total exports for all OECD Member countries, and natural gas pipeline and LNG trade by origin and destination for all OECD Regions. The latest dataset is available below in PDF or Excel.

We have now moved to a new integrated platform and in order to access data, all users will need to login using their IEA account. If you would like to access the data, please create your IEA account on this page . Once you are logged in, you can download the dataset here"
[],10/14/2021,"Oil and gas company Statoil gas processing and CO2 removal platform Sleipner T is pictured in the offshore near the Stavanger, Norway, February 11, 2016. REUTERS/Nerijus Adomaitis

Summary Will “develop, not dismantle” oil industry

Won’t try to renegotiate EEA deal with Brussels

HURDAL, Norway, Oct 13 (Reuters) – Norway will continue to explore for oil and gas in the next four years, with most new drilling permits to come in mature areas of the sea, the incoming centre-left government said on Wednesday.

A minority coalition of the Labour Party and the rural Centre Party will take power on Thursday after defeating the Conservative-led government in last month’s election.

“The Norwegian petroleum industry will be developed, not dismantled,” the two parties said in a joint policy document, adding that it will maintain the existing system of handing out exploration licences.

While climate change was a major issue debated during the campaign for parliament, Labour has said it wants to ensure any transition away from oil and gas, and the jobs it creates, towards green energy is a gradual one.

Norway is western Europe’s largest oil and gas producer, pumping around four million barrels of oil equivalent per day and deriving half its export revenues from hydrocarbons so far this year.

The oil industry welcomed the new government’s plans.

“Giving access to attractive acreage is the most important measure authorities have to ensure continued development and value creation from oil and gas, but also to finance a green transition,” said Norwegian Oil and Gas, a lobby group.

Complicating the situation, the new minority government must seek support from opposition parties in parliament for its policies, however, some of which seek to curtail the oil industry’s drilling.

“We are about to get a new government but with the same fossil and irresponsible policies as the previous one,” Frode Pleym, head of Greenpeace Norway, told Reuters. “The government platform means full steam ahead on continued oil exploration.”

The agreement on the European Economic Area, allowing Norway to be part of the EU single market without being a member of the European Union, will remain in place, said Jonas Gahr Stoere, who will become prime minister in the new government.

“The EEA agreement is the basis of our relationship with Europe,” Stoere told reporters.

But Oslo will discuss more often specific cases of EU rules and legislation for implementation, according toStoere’s coalition partner, Trygve Slagsvold Vedum.

“We do not want this privatisation of railways that the previous government has done,” Vedum told reporters. “We will see the concrete cases as they come.”"
[],10/14/2021,"Saudi Arabia’s Minister of Energy Prince Abdulaziz bin Salman Al-Saud attends a session of the Russian Energy Week International Forum in Moscow, Russia October 14, 2021. REUTERS/Maxim Shemetov

MOSCOW, Oct 14 (Reuters) – OPEC leader Saudi Arabia dismissed calls for speedier oil output increases on Thursday, saying its efforts with allies were enough and protecting the oil market from the wild price swings seen in natural gas and coal markets.

“What we see in the oil market today is an incremental (price) increase of 29%, vis-à-vis 500% increases in (natural) gas prices, 300% increases in coal prices, 200% increases in NGLs (natural gas liquids) …,” Saudi energy minister Prince Abdulaziz bin Salman told a forum in Moscow on Thursday.

The Organization of the Petroleum Exporting Countries and allies led by Russia, collectively known as OPEC+, have done a “remarkable” job acting as “so-called regulator of the oil market,” he said.

“Gas markets, coal markets, other sources of energy need a regulator. This situation is telling us that people need to copy and paste what OPEC+ has done and what it has achieved.”

Asked about calls by major consumers like the United States for OPEC+ to increase production further to cool off rising oil prices, Prince Abdulaziz said: “I keep telling people we are increasing production.”

He said OPEC+ would be adding 400,000 barrels per day (bpd) in November, and then again in the following months.

At its meeting earlier this month, OPEC+ stuck to its agreement of increasing production by 400,000 bpd a month as it unwinds production cuts.

“We want to make sure that we reduce those excess capacities that we have developed as a result of COVID,” he said, adding that OPEC+ wanted to do it “in a gradual, phased-in approach”.

Prince Abdulaziz said that while OECD oil inventories were on track to normalise at the end of this year, 2022 was looking “a bit of a challenging year”.

OPEC+ figures show the oil market is set for a surplus of about 1.4 million bpd next year."
[],10/14/2021,"Not for distribution to U.S. newswire services or dissemination in the United States

CALGARY, Alberta, Oct. 14, 2021 (GLOBE NEWSWIRE) — Cenovus Energy Inc. (TSX: CVE) (NYSE: CVE) (“Cenovus”) and Headwater Exploration Inc. (TSX: HWX) (“Headwater” or the “Company”) have closed the previously announced bought deal secondary offering (the “Offering”) of common shares of Headwater (the “Common Shares”). The Offering was completed on a bought deal basis, pursuant to an underwriting agreement dated effective September 27, 2021 among the Company, Cenovus, Cenovus Marten Hills Partnership, a wholly-owned subsidiary of Cenovus (the “Selling Shareholder”), and a syndicate of underwriters led by Peters & Co. Limited and BMO Nesbitt Burns Inc. and including CIBC World Markets Inc., RBC Dominion Securities Inc., Scotia Capital Inc., and TD Securities Inc. (collectively, the “Underwriters”).

Pursuant to the Offering, Cenovus, through the Selling Shareholder, sold a total of 50,000,000 Common Shares (collectively, the “Offered Shares”), including 5,000,000 Common Shares sold pursuant to the exercise in full of an over-allotment option granted to the Underwriters. The Offered Shares were sold at a price of $4.55 per Offered Share for total gross proceeds to the Selling Shareholder of $227,500,000. The Company has not and will not receive any of the proceeds of the Offering. In connection with the Offering, the Underwriters received a cash commission equal to 4% of the gross proceeds from the sale of the Offered Shares.

The Selling Shareholder and the Company entered into an investor agreement dated December 2, 2020 (the “Investor Agreement”) in connection with the issuance of Common Shares and Common Share purchase warrants (the “Warrants”) to the Selling Shareholder. As a result of the completion of the Offering, the Investor Agreement automatically terminated in accordance with its terms. The Investor Agreement provided the Selling Shareholder with certain contractual rights related to, among other things, the nomination of directors of the Company. In connection with the termination of the Investor Agreement, Sarah Walters, who was a nominee of the Selling Shareholder on the Board of Directors (the “Board”) of the Company, resigned as a director of the Company effective upon completion of the Offering. Kam Sandhar, who was also nominated to the Board by the Selling Shareholder pursuant to the Investor Agreement, is expected to remain on the Board following the Offering notwithstanding the termination of the Investor Agreement.

Cenovus sold the Common Shares as part of its plan to reduce its net debt levels towards its $10 billion interim target and accelerate shareholder returns. The Common Shares and Warrants were originally issued to the Selling Shareholder as partial consideration for the acquisition by Headwater of the Selling Shareholder’s assets in the Marten Hills area of Alberta. Through its active development plan and early success, Headwater has accelerated the value generated from the Marten Hills asset and continues to progress its exploration program. The Offering expands Headwater’s free-trading float and is expected to provide new and existing shareholders with enhanced trading liquidity.

The Common Shares were offered by way of a short form prospectus filed by the Company in all provinces of Canada, excluding Quebec. Offered Shares were sold on a private placement basis in the United States to “qualified institutional buyers” pursuant to Rule 144A of the Securities Act of 1933 (as amended, the “U.S. Securities Act”). No securities regulatory authority has either approved or disapproved of the contents of this news release.

The Common Shares have not been, nor will they be, registered under the U.S. Securities Act, and may not be offered or sold in the United States or to, or for the account or benefit of, U.S. persons absent registration or an applicable exemption from the registration requirements. This press release shall not constitute an offer to sell or the solicitation of an offer to buy nor shall there be any sale of the securities in any state in which such offer, solicitation or sale would be unlawful.

Additional Early Warning Disclosure

This additional disclosure is provided pursuant to National Instrument 62-103—The Early Warning System and Related Take-Over Bid and Insider Reporting Issues, which also requires a report to be filed by Cenovus with the regulatory authorities in each jurisdiction in which the Company is a reporting issuer containing information with respect to the foregoing matters (the “Early Warning Report”).

Prior to the Offering, the Selling Shareholder held 50,000,000 Common Shares, representing approximately 24.7% of the issued and outstanding Common Shares on an undiluted basis and approximately 26.8% of the issued and outstanding Common Shares on a fully diluted basis after giving effect to all convertible securities of the Company, including the exercise of the Warrants. Pursuant to the Offering, the Selling Shareholder disposed of legal and beneficial ownership of 50,000,000 Common Shares, being 100% of the Common Shares held by the Selling Shareholder.

Following completion of the Offering, the Selling Shareholder no longer holds any Common Shares. Cenovus, through the Selling Shareholder, continues to own 15,000,000 Warrants exercisable at $2.00 per Common Share until December 2, 2023, which have not been exercised. If the Warrants were exercised in full, Cenovus would indirectly own, through the Selling Shareholder, an aggregate of 15,000,000 Common Shares, representing approximately 6.9% of the issued and outstanding Common Shares.

In connection with the Offering, net proceeds of approximately $218.4 million were paid to, and received by, the Selling Shareholder, representing the gross proceeds of the Offering less the fees paid to the Underwriters by the Selling Shareholder. The Selling Shareholder may from time to time, depending on market and other conditions, exercise the Warrants, acquire or dispose of additional Common Shares through market transactions, public offerings, private agreement or otherwise.

The Early Warning Report with additional information in respect of the foregoing matters will be filed and made available on the System for Electronic Document Analysis and Retrieval (SEDAR) at sedar.com under Headwater’s issuer profile. A copy of such report may also be obtained by contacting the secretary of Headwater, on behalf of Cenovus and the Selling Shareholder, at telephone number (587) 391-3680.

Cenovus’s head office is located at 225 – 6th Avenue S.W., Calgary, AB T2P 0M5. Headwater’s head office is located at Suite 1200, 500 – 4th Avenue S.W., Calgary, Alberta T2P 2V6.

Advisory

Basis of Presentation

Cenovus reports financial results in Canadian dollars and presents production volumes on a net to Cenovus before royalties basis, unless otherwise stated. Cenovus prepares its financial statements in accordance with International Financial Reporting Standards (IFRS).

Forward-looking Information

This news release contains certain forward-looking statements and forward-looking information (collectively referred to as “forward-looking information”) within the meaning of applicable securities legislation, including the United States Private Securities Litigation Reform Act of 1995, about Cenovus’s and Headwater’s current expectations, estimates and projections about the future, based on certain assumptions made by Cenovus and Headwater in light of their respective experience and perception of historical trends. Although Cenovus and Headwater believe that the expectations represented by such forward-looking information are reasonable, there can be no assurance that such expectations will prove to be correct. Readers are cautioned not to place undue reliance on forward-looking information as actual results may differ materially from those expressed or implied. Neither Cenovus nor Headwater undertake any obligation to update or revise any forward-looking information except as required by law.

This forward-looking information is identified by words such as “achieve”, “commitment”, “continue”, “expect”, “may”, “position” and “will”, or similar expressions and includes suggestions of future outcomes, and in respect of Cenovus includes statements about the use of net proceeds from the Offering to reduce net debt levels and accelerate returns to its shareholders; and the potential exercise of the Warrants or other acquisitions or dispositions of Common Shares. In respect of Headwater, the forward-looking information includes statements about: the intent to continue to progress its exploration program; the composition of the Board upon completion of the Offering; and that the Offering will expand Headwater’s free-trading float and is expected to provide new and existing shareholders with enhanced trading liquidity.

Developing forward-looking information involves reliance on a number of assumptions and consideration of certain risks and uncertainties, some of which are specific to Cenovus or Headwater and others that apply to the industry generally.

Additional information about risks, assumptions, uncertainties and other factors that could cause Cenovus’s actual results to differ materially from those expressed or implied by its forward-looking statements is contained under “Risk Management and Risk Factors” in Cenovus’s Annual Management’s Discussion and Analysis (MD&A) or Form 40-F for the year ended December 31, 2020 and in the updates in the “Risk Management and Risk Factors” section of Cenovus’s MD&A for the period ended June 30, 2021. Additional information about risks, assumptions, uncertainties and other factors that could cause Headwater’s actual results to differ materially from those expressed or implied by its forward-looking statements is contained under “Risk Factors” in its annual information form for the year ended December 31, 2020, which is available on SEDAR at sedar.com.

Cenovus Energy Inc.

Cenovus Energy Inc. is an integrated energy company with oil and natural gas production operations in Canada and the Asia Pacific region, and upgrading, refining and marketing operations in Canada and the United States. The company is focused on managing its assets in a safe, innovative and cost-efficient manner, integrating environmental, social and governance considerations into its business plans. Cenovus common shares and warrants are listed on the Toronto and New York stock exchanges, and the company’s preferred shares are listed on the Toronto Stock Exchange. For more information, visit cenovus.com.

Find Cenovus on Facebook, Twitter, LinkedIn, YouTube and Instagram.

Headwater Exploration Inc.

Headwater Exploration Inc. is a Canadian publicly traded resource company engaged in the exploration for and development and production of petroleum and natural gas in Canada. Headwater currently has high quality oil production, reserves, and lands in the prolific Clearwater play in the Marten Hills area of Alberta as well as low decline natural gas production and reserves in the McCully Field near Sussex, New Brunswick. Headwater is focused on providing superior corporate level returns by focusing on sustainability, asset quality and balance sheet strength. Headwater common shares are listed on the Toronto Stock Exchange. For more information, visit headwaterexp.com.

Cenovus contacts:

Investors Media Investor Relations general line

403-766-7711 Media Relations general line

403-766-7751

Headwater contacts:"
[],10/14/2021,"Under terms of the MOU, RETI will work with its First Nations Partners to raise funds for a potential agreement to acquire an equity position in the Shell-led Polaris CO 2 storage hub concept.

Project Reconciliation’s vision of Indigenous generational wealth is supported by the Indigenous Sovereign Wealth ESG Fund 1 which will champion investments in low-carbon clean energy projects, such as Polaris. Funding for these projects will be made through special purpose Limited Partnerships which will include equity loans for First Nations Partners, in turn providing material ownership for First Nations. These investments will support environmental stewardship and create pension-like intergenerational wealth – thereby supporting the path towards healing, respect and self-determination for participating Nations.

The proposed Polaris CCS project is being developed on Treaty 6 lands and home to Papaschase First Nation.

Robert Morin, Member of Enoch Cree Nation, Chairman of Project Reconciliation:

“As Chairman of Project Reconciliation, I am proud of our partnership with Shell Canada, a leading energy provider in accelerating the transition to net-zero emissions through initiatives such as the Polaris Project. These alliances are an important step in achieving our vision of Indigenous economic sovereignty and self determination.”

Stephen Mason, Chairman & CEO of RETI and Managing Director of Project Reconciliation:

“RETI’s collaboration with Shell underlines that material partnerships between Indigenous Peoples and Corporate Canada are critical to the development of today’s infrastructure projects.”

Chief Calvin Bruneau, Papaschase First Nation:

“We welcome this opportunity to protect our environment and take climate action through Project Reconciliation’s vision and Shell’s commitment to environmental leadership. We are making progress towards official recognition by the federal government. Our partnership in this project is an important step towards being more recognized and respected on our traditional lands – while protecting it for our future generations.”

About RETI

RETI’s focus is to develop new energy transition projects founded on material Indigenous equity ownership at the operating level. RETI’s strong engagement platform and governance structure is deeply aligned with PRI’s; created to accelerate Canada’s Indigenous generational wealth base where Indigenous people have meaningful oversight and economic participation in Canada’s evolving energy transition and decarbonization economy. RETI’s mandate emphasizes Free, Prior and Informed Consent (“FPIC”), with ESG performance as the foundation of its development strategy."
[],10/14/2021,"Oct 14, 2021

(Bloomberg)

Crude’s rally in recent months has been underscored by wider gains in energy prices. Some analysts, including at Bank of America Corp., see potential for prices to reach $100 a barrel, though RBC Capital Markets cautioned that stockpiles will need to fall by 550 million barrels between now and June for that to happen.

“Risks for the oil market are clearly skewed to the upside in the coming weeks,” said Warren Patterson, head of commodities strategy at ING Groep NV. “The global balance continues to tighten, while the potential for further gas-to-oil switching suggests an even tighter market.”

Prices: WTI for November delivery added 1% to $81.24 a barrel at 9:19 a.m. in London. On Monday, the U.S. benchmark hit $82.18, the highest since October 2014.

Brent for December settlement gained 1.1% to $84.05 a barrel on the ICE Futures Europe exchange.

RBC also said that longer-dated oil prices will continue to rally. Crude is in the early days of a multiyear structurally strong cycle, the bank’s analysts including Michael Tran and Helima Croft wrote in a note.

Meanwhile the American Petroleum Institute reported a mixed set of inventory figures. Nationwide crude stockpiles grew, but those at the key hub of Cushing, Oklahoma fell sharply, as did gasoline and distillate supplies."
[],10/14/2021,"Oct 14, 2021

(Bloomberg)

“An acute shortage of natural gas, LNG and coal supplies stemming from the gathering global economic recovery has sparked a precipitous run-up in prices for energy supplies and is triggering a massive switch to oil products,” the IEA said. “Provisional August data already indicates that there is some unseasonably high demand for fuel oil, crude and middle distillates for power plants across a number of countries, including China.”

The latest analysis from the agency, which advises industrialized countries on energy policy, shows how the acute shortage of natural gas is spilling over into other markets and the broader economy. The crisis is deepening the current oil-supply deficit, potentially disrupting OPEC’s careful plan to gradually revive idle production. It’s roiling energy-intensive industries and threatens to curb GDP growth and boost inflation.

Brent crude rose 0.9% to $83.95 a barrel as of 9:21 a.m. in London, bringing the increase for the week to almost 2%.

The IEA raised its estimate for demand growth this year by 300,000 barrels a day to 5.5 million barrels a day, and increased it slightly for 2022 to 3.3 million barrels a day. The effect of oil-gas switching will mostly be felt this quarter and next, the agency said.

The gas crisis isn’t entirely a net positive for oil consumption. The increase in the IEA’s demand estimates was tempered by a weaker outlook for GDP resulting mainly from supply-chain issues and rising energy costs.

“The surge in prices has swept through the entire global energy chain,” the IEA said. “Higher energy prices are also adding to inflationary pressures that, along with power outages, could lead to lower industrial activity and a slowdown in the economic recovery.”

The agency noted that the Organization of Petroleum Exporting Countries and its allies stuck to their plan to boost production by 400,000 barrels a day “despite calls from major consuming countries for a more substantial increase.”

OPEC+ showed no signs of deviating from its plan. Speaking at Russian Energy Week in Moscow, Saudi Energy Minister Prince Abdulaziz bin Salman reiterated his commitment to a gradual and phased revival of idle supply. The crisis engulfing other energy markets shows what a good job the group has done in regulating oil, he said.

Global oil production will rise by about 2.7 million barrels a day from September to the end of the year as OPEC+ continues to unwind its cuts and U.S. output recovers from the damage caused by Hurricane Ida, the IEA said. Even with those additions, the market will be in a supply deficit of about 700,000 barrels a day for the rest of this year, before flipping back into surplus in early 2022, the IEA said."
[],10/14/2021,"(Bloomberg)

Gas futures in Asia and Europe have soared by more than 150% since the end of June, while coal’s doubled. Brent crude, by contrast, is up 12%.

The Organization of Petroleum Exporting Countries and allies including Russia and have been under pressure from major consumers to accelerate the pace of their supply increases. The calls have become louder since the surge in gas prices caused some power producers to switch to oil.

“Unlike the gas market, the oil market is now more predictable, more understandable for market participants,” Russia’s Deputy Prime Minister Alexander Novak, who handles energy policy, said on the same panel. “Today’s prices and the current balance of supply and demand reflect the current actual situation.”

The United Arab Emirates’ Energy Minister Suhail Al-Mazrouei echoed their comments and said there was no danger of the oil market overheating because of OPEC+’s stance.

“You need to trust us because we have enough experience dealing with different cycles,” he said.

Next Year’s Different

Prince Abdulaziz said he was concerned about the oil market shifting to a supply surplus in 2022 and ending the year with a “huge amount of over stocks.”

“We’ll have a challenging year,” he said. “We keep telling people we should look way beyond the tip of our noses.”

Several traders and Wall Street banks forecast that global oil demand will drop below supply around early 2022. The daily balance will change from a supply deficit of around 1.5 million barrels now to a surplus of almost 2 million by March, according to JPMorgan Chase & Co."
