Author,Publisher,Publishing Date,Text
,,11/28/2017,"COVID-19: Is mandatory vaccination for teachers the next front in the school safety battle?

6 hours"
,,11/28/2017,"Canada

The Chinese government insists there is no connection between the release of Michael Kovrig and Michael Spavor, and the return of Huawei CFO Meng Wanzhou. Much of the world, though, considers it a case of hostage diplomacy. As Abigail Bimman reports, how Ottawa navigates its relationship with Beijing won't be easy."
Amanda Stephenson,The Canadian Press,11/28/2017,"
Canadian pipeline giant Enbridge Inc. is increasing its presence on the U.S. Gulf Coast through a US$3-billion acquisition.

The Calgary-based company said Tuesday it will buy U.S.-based terminal and logistics company Moda Midstream Operating LLC from private-equity firm EnCap Flatrock Midstream.

As part of the deal, Enbridge will acquire North America’s largest crude export terminal, the Ingleside Energy Center located near Corpus Christi, Texas.

The terminal, which will be renamed the Enbridge Ingleside Energy Center, comprises 15.6 million barrels of storage and 1.5 million barrels per day of export capacity. It loaded 25 percent of all U.S. Gulf Coast crude exports in 2020.

Enbridge has been seeking to build a strong position on the U.S. Gulf Coast to meet growing global demand for lower-cost, sustainable energy supply.

 

The Ingleside Energy Center is located in proximity to low-cost and long-lived oil reserves in the Permian and Eagle Ford basins, said Enbridge chief executive Al Monaco.

The facility is considered to be one of North America’s most competitive export facilities, underpinned by 925,000 barrels per day of long-term take-or-pay vessel loading contracts and 15.3 million barrels of long-term storage contracts.

The deal, which will close in the fourth quarter and will initially be funded through existing liquidity, will immediately add to the company’s earnings, Monaco said.

“This blue-chip platform aligns very well with our long-standing shareholder value proposition,” he said in a news release.

Read more: Alberta budget benefits from oil prices no one had bargained for

Enbridge, which has set a companywide goal of becoming a net-zero emitter of greenhouse gases by 2050, said it plans to lower the overall emissions from the Ingleside Energy Center by adding up to 60 MW of solar power capability to the site.

The solar capacity will be used to meet the power needs of the facility, and the excess generation will be contracted to local industrial and refining facilities.

Longer term, Enbridge said there is potential to develop additional low carbon energy infrastructure within the facility, including renewable fuels and carbon capture projects.

 

The purchase will also give Enbridge access to other crude export assets in the Gulf Coast region, including the Cactus II Pipeline, the Viola Pipeline and the Taft terminal."
Bob Weber,The Canadian Press,11/28/2017," 

Alberta’s Canadian Energy Centre appears ready to be vocal again, planning a new advertising campaign to “change perceptions” about the province’s oil and gas industry and build what it’s calling a social movement in its support.

One year after the province’s United Conservative government ended the controversial agency’s outreach during the COVID-19 pandemic, the so-called “war room” has put out a request for proposals on how to change the values and attitudes held by people in Eastern Canada and the northern United States.

The winning candidate must show a “demonstrated ability to change perceptions about messages and values,” says an Aug. 23 document. Its ultimate goal is “building a social movement” in support of Canada’s oil and gas industry.

 

“We are excited to be moving forward on the CEC’s mission — to advance Canada as the supplier of choice for the world’s growing demand for responsibly produced energy,” Tom Olsen, the centre’s director, said in an email.

The request for proposals does not include a price, which is left for the bidders to propose. The contract is to be awarded in late October and will last a year with possible extensions.

1:08 Premier Jason Kenney defends war room while appearing on 630 CHED Premier Jason Kenney defends war room while appearing on 630 CHED – Mar 4, 2020

The United Conservative government established the centre to promote the energy industry and fire back against what it deems misinformation.

It has since criticized The New York Times newspaper and scolded the makers of a children’s film featuring Bigfoot for what it felt was an anti-oil message.

 

In March 2020, the province drastically reduced the centre’s resources.

That year, the agency lost about 90 per cent of its $30-million budget, which comes largely from the government’s carbon levy.

View image in full screen Inside the Canadian Energy Centre, also dubbed Alberta’s “war room.”. Global News

In a news release, the government said all paid advertising campaigns and work with outside contractors would stop.

The government’s February budget restored the centre’s funding to about $12 million. The advertising moratorium appears to be over with the new request for proposals.

“(The contractor will) develop and create a minimum of four consumer-direct strategic marketing campaigns that are emotional and compelling in order to measurably change perceptions about Canada’s energy sector,” the document says.

 

It says the campaign will be largely aimed at British Columbia, the Maritimes, Ontario and especially Quebec.

“(The centre) expects the proponent to have a local presence in Quebec.” Tweet This Click to share quote on Twitter: ""(The centre) expects the proponent to have a local presence in Quebec.""

In the U.S., the campaign is to focus on border states, refining states and states along the eastern seaboard “where policy influence is significant.”

The document says ads will be bought national and internationally. The campaign will be conducted through traditional, digital and social media, it says.

Bidders are required to submit two examples of previous work that successfully changed the attitudes of the target audience.

11:44 Extended: Sitting down with the CEO of Alberta’s ‘war room’ Extended: Sitting down with the CEO of Alberta’s ‘war room’ – Dec 17, 2019

New Democrat energy critic Marlin Schmidt said spending more money to get non-Albertans to feel good about the province’s energy industry isn’t how to diversify Alberta’s economy.

 

“We need a strong plan to diversify Alberta’s economy so people can go back to work,” he said.

“Putting more ads out as a way of getting people to feel good about the existing state of affairs doesn’t do anything to achieve those goals.” Tweet This Click to share quote on Twitter: ""Putting more ads out as a way of getting people to feel good about the existing state of affairs doesn't do anything to achieve those goals.""

Founded in December 2019 as part of the then-new government’s “fight back” strategy, the Calgary-based centre was set up as a provincial government corporation but is overseen by three cabinet ministers on its board of directors.

It has suffered gaffes and missteps.

Olsen apologized after the centre questioned The New York Times’ credibility on Twitter.

The centre was also criticized for using another organization’s trademarked logo and for having its staff members refer to themselves as reporters instead of government employees.

Olsen said nearly 75,000 Canadians have sent letters or signed centre-supported petitions.

The centre, he said, has produced 363 articles, which reach more than one million Canadians a month. More than 60 per cent of the centre’s website traffic originates from outside of Alberta, Olsen said.

Advertisement"
Amanda Stephenson,The Canadian Press,11/28/2017," 

Imperial Oil Ltd. is planning to build a renewable diesel complex at its Strathcona refinery near Edmonton, using locally grown vegetable oils to meet growing customer demand for cleaner burning fuel products.

Calgary-based Imperial — a subsidiary of ExxonMobil and Canada’s largest petroleum refiner — said Wednesday its proposed project would be the largest facility of its kind in Canada, capable of producing more than one billion litres per year of biofuel annually.

1:49 Alberta attracts $1.3 billion hydrogen investment in Edmonton region Alberta attracts $1.3 billion hydrogen investment in Edmonton region – Jun 9, 2021

That works out to the equivalent of about three million tonnes per year of emissions reductions from the Canadian transportation sector when compared with traditional petroleum-based diesel, said Jon Wetmore, Imperial’s vice-president of downstream.

 

“For the most part I think all of our customer base is really interested and keen on this,” Wetmore said.

“The rail companies, CN Rail and CP Rail, have probably been the most vocal looking for a renewable fuel option for their locomotives.” Tweet This Click to share quote on Twitter: ""The rail companies, CN Rail and CP Rail, have probably been the most vocal looking for a renewable fuel option for their locomotives.""

The new complex at Imperial’s facility along refinery row on the eastern edge of Edmonton will bea new build, not a retrofit of existing infrastructure, according to Imperial Oil public and government affairs manager Keri Scobie.

“We expect there will be approximately 600 direct construction jobs throughout the course of the project, plus hundreds of other jobs through our various partners that we will get in place as the project progresses,” Scobie said to Global News.

Renewable diesel fuel — sometimes called green diesel — is a biofuel that can be produced from a range of sustainable feedstocks including wood, crops and vegetable oils, and even sawdust.

Because it is chemically the same as petroleum diesel, renewable diesel can be used in regular diesel engines. That makes it appealing for companies racing to get in line with Canada’s new Clean Fuel Standard, which takes effect next year.

 

The legislation will require liquid fuel suppliers to decrease the carbon intensity of their products by 13 per cent by 2030.

“We’re not alone in this. Everybody’s looking at renewable diesel as being an advantaged fuel under the Canadian clean fuels regulation coming forward, and we certainly see it the same way,” Wetmore said.

Read more: Federal government proposes regulations for Clean Fuel Standard

Imperial’s proposed project will use “blue” hydrogen (a term used to describe hydrogen produced from natural gas with carbon capture and storage) to process locally grown crops such as canola, soybeans and camelina into the renewable diesel.

“This is a first of its kind for the company and something we’re extremely excited about,” Scobie said.

The company didn’t disclose a price tag for the proposed project, saying it intends to make a final investment decision next year. Production could start in 2024.

Wetmore said moving ahead with the complex will depend on market conditions as well as securing necessary government approvals and support.

He said Imperial is in partnership discussions with the governments of Alberta as well as with B.C., which has its own provincial renewable and low carbon fuel requirements.

 

Read more: Imperial Oil shareholders defeat shareholder motion to set net zero emission target

While most of North America’s major renewable diesel complexes are located in the United States, plans are also in the works to build one at Regina.

That project, proposed by Federated Co-operatives Ltd., would be built at the company’s existing Co-op refinery site and has a 2025 production target. It would be similar in size to the one proposed by Imperial.

1:47 Survey shows support for renewable energy in Regina Survey shows support for renewable energy in Regina – Sep 24, 2020

— With files from Karen Bartko, Global News"
Amanda Stephenson,The Canadian Press,11/28/2017,"With global climate change threatening to wreak havoc on their industry, insurance companies are increasingly looking to limit their exposure to the fossil fuel sector.

“This was not an issue that was central in the insurance sector, even 7 years ago,” said Robin Edger, national director of climate change for the Insurance Bureau of Canada. “But now it is moving at light speed.”

In the past three years, 23 major global insurance companies have adopted policies that end or limit insurance for the coal industry, and nine insurers have ended or limited insurance for the Canadian oilsands.

Other insurance companies are making changes on the asset side of their books, divesting fossil fuel investments and adding green energy to their investment portfolios. In July, eight of the world’s largest insurance companies — including Swiss Re, Zurich Insurance Group and Aviva — committed to transitioning their portfolios to net-zero greenhouse gas emissions by 2050.

Story continues below advertisement

The “sustainable finance” movement — which seeks to use the power of investment capital to move toward a lower-carbon economy — also includes pension funds, banks, and mutual funds. But of all the institutional investors, insurance companies have perhaps the most on the line when it comes to climate change.

According to the Insurance Bureau of Canada, the average annual cost of claims for property damage or losses due to severe weather has more than quadrupled over the last decade to $2.4 billion in 2020. That figure is expected to keep growing. An alarming report from the United Nations earlier this month said the world will cross the 1.5-degree-Celsius warming mark in the 2030s, resulting in more floods, fires and heat waves.

On the hook for more payouts amid ever-escalating risk, the global insurance industry has been lobbying for years for governments to take more action on climate change. But it is only recently that insurers have begun taking a critical look at their own investments in fossil fuel companies.

In Europe — where the disclosure of fossil fuel investments is mandatory for public companies — insurers are moving faster than their North American counterparts, said Victor Adesanya, lead author of a recent DBRS Morningstar report on the topic.

Story continues below advertisement

But even in the U.S. and Canada, where the disclosure of fossil fuel holdings is not required, the issue is gaining momentum, Adesanya said. Manulife Financial, for example, has committed to assessing its own $411-billion portfolio with the goal of getting to net-zero by 2050.

“For them (North American insurers) to just turn off the taps and stop investing right away, I don’t see that happening,” Adesanya said.

“But there’s a trend that has started, and it will begin to ramp up.” Tweet This Click to share quote on Twitter: ""But there's a trend that has started, and it will begin to ramp up.""

Environmental groups are also increasingly putting pressure on the insurance industry, demanding that they stop underwriting coal mines, coal-fired power plants, and other fossil fuel projects. They have had some success — a handful of global insurers stated publicly this year they would not provide coverage to the TransMountain pipeline expansion.

“To me it illustrates a real shift in the sector,” said Mary Lovell, who leads insurance campaigns for the San Francisco-based environmental group Rainforest Action Network. “These insurers understand the reputational risk of being involved with a project as contentious as TransMountain, as well as the material risk of constructing a new pipeline during a climate crisis.”

Edger, with the Insurance Bureau of Canada, said the industry will be closely watching the COP 26 UN Climate Summit in Glasgow in November, where the issue of sustainable finance is expected to be a major topic.

Advertisement"
Adam Toy,,11/28/2017,"The disruptive force of the 2015 oil price shock caused companies in oil and gas to have to adapt to operate in new conditions.

Startec Compression and Process is one such company, having to change its focus from just providing products to oil and gas companies to providing them for a broader market, including alternative energy producers.

“Whenever there’s that kind of economic pressure on a business, whether that is reduced pricing or challenges in how we do business, new ideas and new ways of doing business come forward,” CEO Kristi Cawthorn told Global News. “So I think that what we’re seeing is new ways of doing business are coming forward that reduce the cost of how we produce our products.

Read more: Lethbridge Chamber of Commerce hosts luncheon with premier and finance minister

Story continues below advertisement

“We’re also seeing a higher level of collaboration between people who have the innovations and people who, like us, can bring them to market and companies that will incorporate them.”

That’s the sort of collaboration and innovation that Cawthorn and a collection of other Alberta CEOs representing industries across the province are hoping to tap into with a new initiative to address the ongoing disruptions to Alberta’s economy.

“Any time markets are disrupted, there are opportunities, and I believe that we’re seeing that now,” Cawthorn said. Tweet This Click to share quote on Twitter: ""Any time markets are disrupted, there are opportunities, and I believe that we're seeing that now,"" Cawthorn said.

Dubbed “Define the Decade,” the initiative from the Business Council of Alberta (BCA) hopes to be both a vision and economic strategy for the province through 2030.

“There are many, many economic development strategies that typically happen at local or regional levels, but you don’t often see them at provincial or state levels,” BCA president Adam Legge told Global News. “And so we’ve taken that concept of a regional or local economic development strategy and inflated it to the provincial level, simply because we know that Alberta has had tremendous challenges in the past five, six years.

Read more: Edmonton International Airport optimistic despite restaurant closures

“But we have tremendous opportunity.”

Part of the initiative involves soliciting the public for “big ideas” at the Define the Decade website.

Story continues below advertisement

The BCA also plans to survey the public and host roundtables across the province. They’re also collecting feedback from chambers of commerce and economic development offices.

“We’re engaging a host of subject matter experts,” Legge said. “We’re creating what’s called the Prosperity Advisory Council, which is going to be a blend of community leaders (and) subject matter experts in everything from the environment to labour markets to post-secondary education.

“They’ll help inform and buttress some of the areas that our CEOs — who are incredible business leaders, but we don’t all know everything.”

Cawthorn, along with 13 other CEOs from companies like Shell Canada, Cenovus, Enbridge, UFA and DynaLife, sits on the initiative’s task force.

1:56 Alberta economy gets another tech sector boost Alberta economy gets another tech sector boost – Jul 21, 2021

She doesn’t know what sort of ideas the public will come forward with, but she expects to see a few themes: “opportunity and energy to move forward.”

Story continues below advertisement

“I think about how I see Alberta, how I see Albertans and our culture here, and, frankly, what makes me proud to be an Albertan, is that we’re inherently innovative and entrepreneurial, almost down to our DNA level,” Cawthorn said.

“And so I anticipate that we’re going to get lots of comments from Albertans about ways to move forward, that as we build those ideas upon one another, we can create a better vision for going forward.” Tweet This Click to share quote on Twitter: ""And so I anticipate that we're going to get lots of comments from Albertans about ways to move forward, that as we build those ideas upon one another, we can create a better vision for going forward.""

Legge said the initiative aims to put corporate support behind the ideas that come from citizens.

Cawthorn said it is also a way for business to support the province.

Read more: Albertans to shoulder outstanding gas and power balances from utility deferral program

“I think that means how do we as businesses promote our own fortunes, but also how do we look out for the future generations?” she said. “How do we look out for the populations that make up our province? How do we ensure that we’re getting the most out of our investments for ourselves and for employment and for families and for generally the social good?

“I believe that businesses do have a part to play in that.”

A full report of the submissions and findings is expected in early 2022, with an interim report expected in October.

Advertisement"
Amanda Stephenson,,11/28/2017," 

Brookfield Infrastructure Partners LLP said it’s confident its hostile bid for Calgary-based Inter Pipeline will be successful now that Pembina Pipeline Corp. has terminated its own rival offer.

Brookfield’s $16-billion offer is now “the sole transaction on the table” for Inter Pipeline shareholders and any delay in accepting it would not be in shareholders’ best interests, Brookfield spokeswoman Claire Holland said.

“We believe Inter Pipeline’s board made the right decision,” Holland said in an email.

“This decision implicitly affirms the merits of our offer, which provides superior value, flexibility and certainty.” Tweet This Click to share quote on Twitter: ""This decision implicitly affirms the merits of our offer, which provides superior value, flexibility and certainty.""

Pembina announced Monday it had terminated its bid for Inter Pipeline after its board advised it would no longer recommend shareholders support the deal. Pembina will pocket a $350-million break fee as a result.

 

The news came nearly two months after Inter Pipeline entered into a friendly $8.3-billion all-share deal with Pembina equal to $19.45 per share.

The deal — which would have seen Inter Pipeline shareholders receive half a Pembina share for each Inter Pipeline share they hold — was struck in response to the hostile takeover bid from Brookfield that Inter Pipeline said undervalued its business.

Read more: Brookfield Infrastructure raises hostile takeover offer for Inter Pipeline

Brookfield, Inter Pipeline’s largest shareholder, subsequently raised its cash and share takeover offer to $19.75 per share, up from its earlier proposal valued at $16.50 per share. It later revised the offer by giving shareholders the option to receive their entire payment in cash, instead of a mix of cash and shares, if they desire.

Brookfield again raised its offer in mid-July to $20 in cash or 0.25 of a Brookfield Infrastructure share for each Inter Pipeline share, with a cap on the number of shares that are available.

At least two prominent shareholder advisory firms, ISS and Glass Lewis, recommended that Inter Pipeline investors reject the company’s proposed sale to Pembina and instead support the takeover by Brookfield.

On Monday, Pembina CEO Mick Dilger said he was disappointed with the outcome.

 

“The industrial logic of a combined Pembina and Inter Pipeline remains unparalleled and the value creation between certain of our assets is impossible to replicate by any other entity,” he said in a news release.

Dilger said the company will continue to seek opportunities for growth through “focused acquisitions.”

“Pembina remains optimistic about its future, including the profitability of our existing business given foreseeable sector tailwinds, as well as with tremendous flexibility to pursue an ever increasing and more diverse set of opportunities for growth, some of which we were able to highlight and advance during this process.”

Inter Pipeline said it is open to working with Brookfield to reach a “mutually agreeable transaction.” The Brookfield offer expires on Aug. 6.

Earlier this month, the Alberta Securities Commission ruled in favour of Inter Pipeline and Pembina in a decision that was critical of the tactics used by Brookfield Infrastructure in the takeover fight.

The securities regulator upheld a $350-million break fee that Brookfield had sought to have cancelled.

It said Brookfield Infrastructure used “abusive” tactics in its attempt to buy Inter Pipeline and ordered the company to provide additional disclosure related to total return swaps it holds that give it economic exposure to Inter Pipeline’s shares.

 

The regulator also raised the minimum tender conditions of the Brookfield Infrastructure offer to 55 per cent from a simple majority of the shares tendered by shareholders other than Brookfield and those acting in concert with it."
Slav Kornik,The Canadian Press,11/28/2017,"ATB Financial’s chief economist believes Alberta has to fight the urge on getting the economy back to way it used to be and focus on adapting as it recovers post-COVID-19 pandemic.

“What we need to do is forge new tracks in the province, building on what we’ve already built in this province, which is a tremendous foundation, but not trying to get back to 2013 or 2007,” Todd Hirsch said.

READ MORE: Keystone XL pipeline is officially dead. What does this mean for Canada?

Despite oil prices climbing 90 per cent over the past year, Alberta’s oil and gas industry continues to face challenges — most notably the cancellation of the Keystone XL pipeline. Diversifying the economy has been a hot-button issue even before the pandemic, but Hirsch said the focus should be on stability, resilience and prosperity.

Story continues below advertisement

“Diversity might be one step to get us to that stability and prosperity, but we shouldn’t just make diversifying the economy the end game,” he said.

2:03 Alberta rural municipalities want oil and gas companies to pay taxes Alberta rural municipalities want oil and gas companies to pay taxes – Jul 5, 2021

The economic expert said supporting essential workers in a real way will help the province achieve its economic goals post-pandemic.

“We talk about essential workers and we all grew to appreciate essential workers, but a lot of those essential workers we kind of realized were maybe underpaid,” Hirsch said.

“This gives us an opportunity to step back and say, ‘How are we treating people in our economy before and can we do it in a different way?’ But to be intentional about doing that, not just sort of hope for the best, but to actually take some intentional measures.”

READ MORE: Doctors on what they’re watching for now that Alberta is fully open

While Hirsh is hopeful the worst of the COVID-19 pandemic is behind Alberta, he said it would be “foolish” for businesses to not plan for a resurgence of the virus and a return of restrictions.

Story continues below advertisement

“If there’s one thing that this COVID-19 has taught us is that it’s unpredictable. Over the last 18 months, it’s thrown us a lot of curveballs and there might still be some curveballs ahead,” he said.

“That’s not my forecast, I’m not being a pessimist in saying this is going to happen, but I think we have to respect the virus, we have to respect the pandemic as we move into a reopening, understanding that this isn’t entirely over yet. We have to respect it, but we have to do it with some optimism.”

Alberta’s deficit was $16.9 billion for 2020 and the province’s debt stands at $93 billion.

The Alberta government said it hopes to create a path towards a balanced budget soon.

1:54 Alberta’s COVID-19 bill more than $5B: finance minister Alberta’s COVID-19 bill more than $5B: finance minister – Jun 30, 2021"
,The Canadian Press,11/28/2017," 

The Alberta government is taking 50 per cent ownership of the controversial Sturgeon Refinery by paying $825 million to reduce tolling costs at the facility northeast of Edmonton.

The province has signed a restructuring deal that also extends the length of Alberta’s processing contract with the refinery by 10 years, to 2058.

The deal means less taxpayer risk in the long-term and it won’t cost the province any more than it was already obligated to pay as a toll payer, the province said Monday.

The government-owned Alberta Petroleum Marketing Commission has a contract to provide bitumen to the refinery.

READ MORE: Sturgeon Refinery now refining Alberta bitumen

Under the terms of the new deal, the province will pay North West Refining $425 million for its 50 per cent equity stake in the refinery and will pay Canadian Natural Resources Ltd., which will continue to own the other 50 per cent of the refinery, $400 million.

 

As a result of making the payments now, the province will not have to pay approximately $1 billion in tolling payments over the next 30 years. It will also get to play a decision-making role in the refinery’s operations.

In a news release, Energy Minister Sonya Savage said the restructuring will benefit Albertans in the long run.

“We are taking action to get a better deal for taxpayers and reducing long-term costs. This agreement provides more economic certainty which will benefit Albertans today and into the future,” Savage said.

READ MORE: Sturgeon Refinery facing more delays after tests, won’t process bitumen until early 2020

Construction was completed on the $9.7-billion Sturgeon Refinery in the fall of 2017 and it was to begin processing as much as 80,000 barrels per day of heavy bitumen in early 2018 after starting up with partly upgraded synthetic crude from oilsands mines.

However, it did not begin processing until 2020 after two years of delays, blamed mainly on equipment failures.

A report from Alberta’s Department of Energy said the Alberta Petroleum Marketing Commission had a $2.68-billion net loss last year due primarily to “onerous” tolling contracts with the Sturgeon Refinery.

Kathleen Ganley, energy critic for Alberta’s NDP Opposition, called for more details of Monday’s equity agreement to be immediately released.

 

“Albertans should be deeply concerned that Jason Kenney has made them part-owners of one of the most notorious Conservative boondoggles in Alberta history,” Ganley said in a release.

2:00 Value of Alberta oil production back to pre-pandemic level Value of Alberta oil production back to pre-pandemic level – Feb 22, 2021"
