Article Title,Article Text,Article Date,Article Author
"Enbridge Has A ‘Big Head Start’ When It Comes To New Energies, Renewable Infrastructure, ESG Forum Hears | Daily Oil Bulletin ","
The Enbridge Inc. executives leading new energy and renewables infrastructure efforts in the energy transition era believe the company has a “big head start with our midstream peers and our position to widen our lead,” the company’s recent ESG Forum webcast heard.
“Our goals going forward are to further differentiate our approach to new energy delivery while making accretive low-risk investments,” said Matthew Akman, senior vice-president, strategy, renewables and new energies.
“Strategically speaking at the highest level, we see our assets as a platform for renewables and new energies. We have a mature and co-ordinated approach to development across our company and our announcement [Sept. 28] to dedicate more resources to new energies only strengthens our execution,” he added.
“We’re excited by the future, and I’m personally looking forward to helping us realize the opportunities ahead.”
Akman said Enbridge is starting from a good spot and are already major players. He noted that the company has over five gigawatts of gross renewable capacity in operation today, consisting of both wind and solar, located across Canada, the U.S. and in Europe.
“We built this up gradually over 20 years with a constant eye on profitability, proving out technology and aligning our investments to our low-risk model. We’re taking that same approach today with new energies. Our early investments are building capabilities and competitive position, while earning revenues that are right down our commercial fairway,” he said.
“We’ll be moving 2.1 PJs [petajoules] of RNG by the end of 2023 — renewable natural gas — and we produce 18,000 kilograms of hydrogen now for injection into our gas utility, but could go 10-times higher if demand is there, which we think it will be.”
Given that, Akman said the company has already eliminated about two million tonnes of CO2 equivalent annually. And those efforts are expected to only ramp-up going forward.
“As you’re all aware, renewable power is the biggest platform for pure-zero GHG energy at Enbridge today. Many energy companies are just signing contracts with third-party renewable players for a portion of their electricity requirements. But we stand out with our scale, asset base and broad capabilities in developing, constructing and operating renewable power, including onshore wind and solar as well as offshore wind,” he said.
“As our asset base expands every year, so do our capabilities. Our development company, Maple Power Inc. [a joint venture between Enbridge and the Canada Pension Plan Investment Board], over in Europe is working closely with our partners to construct offshore wind projects and develop new opportunities.… These are highly complex and large-scale projects requiring unique siting, permitting and construction expertise along with well-developed supply chains which we’ve been carefully building.”
According to Akman, offshore wind is a “more recent foray” for Enbridge but one that’s already achieved scale.
“Offshore wind capacity is forecast to triple globally by 2030 — so explosive growth. Our focus has been on Europe where we see solid fundamentals, good commercial underpinnings and aggressive targets set by government for renewables,” he said.
“We already have ownership interests and several operating facilities in Germany and the U.K., [and] are in the active construction on three more large-scale facilities with 1.4 gigawatts of capacity in France alone. Coming up, right behind that, we’re developing another three gigawatts in Europe with our partner, again, CPPIB.”
Akman said that an “emerging but exciting growth opportunity set” is in floating offshore wind, which he noted has the potential to open up a vast new renewable resource.
“We’re actively working on a pilot in a late-stage in the south of France, and expect to participate in an upcoming utility-scale opportunity on floating wind as well. By mid-decade, our goal is to have enough operating offshore wind capacity to power the equivalent of half a million homes,” he told the virtual audience.
“The renewable business will have a big hand in helping us achieve our emissions reductions goals, too. By self-powering our own pipelines with solar we can substantially cut our Scope 2 emissions, often while reducing our power bills at the same time and generating good returns on capital.”
Akman said that Enbridge already has three operating solar cell power projects and four more under construction, with more likely.
“Right behind that, we see near-term potential of 10 to 15 more facilities with ultimate capacity of several hundred megawatts in the near-term. Those are behind-the-meter plants; in other words, 100 per cent dedicated to our pump and compressor stations,” he said.
“In addition, over and above that, we have the capability and appetite to develop so-called front-of meter renewables that can power our assets, in part, while also providing zero emission energy to third-party customers.”
New energies focus
Malini Giridhar, vice-president, business development and regulatory, said the company’s innovation efforts in new energies “reduce the energy intensity of the energy we deliver” and offset third-party emissions.
“They also leverage the vast geographic footprint of our assets and support their continued use for decades to come. Our 24,000-kilometres of transmission pipeline in the U.S. and Canada, and 85,000 kilometres of distribution pipeline in Ontario, can get RNG and low-carbon hydrogen to the market,” she said.
“And [the company is] uniquely positioned for green and blue hydrogen and carbon capture, which can leverage our renewable power assets, storage and transmission capabilities.”
Giridhar said Enbridge’s asset footprint also “comes with enduring supplier and customer relationships” in North America’s major producing and consuming regions. And those partnerships are vital.
“Aggregating our customers ESG goals with our own goals can provide significant scale. And add to this our demonstrated project execution skills, our strategic technology partnerships and stakeholder relationships and we believe we have all the necessary elements to be successful,” she said.
“Now we see investment opportunities across the value chain for both RNG and hydrogen within the Enbridge value framework, and many of these opportunities will come organically from the need to inject into our pipeline system from which we can then extend both upstream and downstream.”
In terms of RNG, Giridhar said the natural extension for the company is related to upgrading facilities, “because we are the custodians of gas quality on our pipelines.”
But, she added, Enbridge can move “further upstream into biogas production or landfill gas capture” and assess potential opportunities for fit with the company’s low-risk commercial model.
“Now, the technology is proven but adoption will take time as costs remain high,” Giridhar said.
“And in terms of opportunity set, we project that RNG from waste can be three per cent or more of Canada-U.S. demand, or one tcf by 2040 off a base of 80 bcf today. RNG can have emissions reduction potential beyond pure fuel substitution, particularly when it reduces fugitive emissions from landfills and agricultural sites,” she added.
“At a high level we expect that the three per cent blend of RNG in supply can result in a nine per cent reduction in fugitive emissions. Likewise, on hydrogen, too, we can move upstream beyond injection and blending facilities.”
On green hydrogen, Giridhar said Enbridge can move upstream to building electrolysis assets and even co-locate these with the company’s renewable assets. “And on blue hydrogen we have the transportation and storage capabilities.”
She said the company believes hydrogen could make up seven per cent or more of natural gas demand by 2040, but it can also address a number of energy challenges at the same time.
“Namely, it’s a backup to intermittent renewable generation providing reliability [and] it’s a solution to peak winter demand currently served by gas infrastructure and decarbonizing heavy industry,” Giridhar said.
“The takeaway here is that our diversified asset base across conventional and renewable assets, with last-mile connections to customers, will be absolutely key to enable low-carbon fuels. Now there are still some technical challenges to overcome and the costs need to come down further. But we are very excited about the opportunity.”
When it comes to hydrogen and RNG, Giridhar said that since the company’s first foray into RNG in 2011 it has brought three projects into service and it is executing four projects for in-service in 2022 and 2023.
“We have over 50 non-binding expressions of interest within our utility franchise which indicates significant developer interest and 10 to 15 projects in development currently,” she said.

She noted that Enbridge is developing partnerships that will generate even more investment opportunities.
“One example is our partnership with Walker Industries and Comcor [Environmental], which brings together their relationships and technical expertise in building and operating landfill sites with our expertise in gas processing, injection and delivery systems and in the marketing of natural gas,” Giridhar said.
“The partnership will initially prioritize the 40 existing landfill relationships that our partners are bringing.”
Giridhar added that the company’s recently announced partnership with Vanguard Renewables will also see opportunities surface across Enbridge’s gas transmission asset base.
“We have eight projects initially generating up to two bcf per year of RNG. But many other potential sites identified will be developed over the next five years. And this creates a nice opportunity set for growth through this partnership,” she said.
“And our foray into green hydrogen production and blending is a good example of how we identify and incubate an idea, pilot and then deploy.”
CCUS goals
Giridhar said “there’s no doubt” that carbon capture and storage will be imperative as North America, indeed the world, strives to achieve its collective GHG emissions reductions targets.
“Energizing the world with zero-carbon fuels and renewables cannot logistically happen fast enough to hit the two degree scenario or better. Large-scale CCUS will be critical to meeting our goals. And the good news for us is that it will become a big infrastructure investment opportunity,” she said.
“Forecasts suggest that CCUS could grow from a $1 billion industry today to over $1 trillion by 2050. But what will really drive that investment is a price on carbon and whether that’s established by governments and/or the private sector. Carbon markets will become more transparent and liquid over time, which will underpin the economics of these capital investments.”
Giridhar said Enbridge has the expertise in transport, as well as storage of energy products, and “we’ve also been a trusted infrastructure service provider to large emitters for decades.”
She said the company will use these advantages and build on them to develop a “large presence” in CCUS over time.
“And we’ll add new elements to our capabilities including best-in-class technology to compete and win. Our partnership with Svante [Inc.], which has a major capital cost advantage in carbon capture in the emerging market as well as several large-scale infrastructure development opportunities, is a good example of how we’ll approach CCUS development,” Giridhar said.
The bottom line? While the energy transition “will take time and won’t happen overnight,” Giridhar reiterated that Enbridge believes it is “ahead of the curve and will continue to capitalize on our scale to seek exciting growth opportunities in this space.”
","Wednesday, October 13, 2021, 6 AM MDT",Paul Wells
Proposed Compressed Air Energy Storage Project Seen As Catalyst For Renewable Energy | Daily Oil Bulletin ,"
After working with Cold Lake oilsands producers for more than a decade, Jordan Costley, engineering manager for privately held Federation Engineering, had a pretty good understanding of area reservoirs and utility infrastructure.
The Calgary and Bonnyville-based design-build firm is now putting that expertise to work. It is proposing a compressed air energy storage project to provide long duration (up to 48 hours) energy storage, balancing fluctuating Alberta power supply and demand with the growth in renewable energy.
The proposed Marguerite Lake project near La Corey, southwest of Cold Lake, also would provide ancillary services to the Alberta Interconnected Electric System (AIES).
Costley was familiar with local reservoirs, including the 200-metre thick Lotsberg halite at a depth of 1,100 metres. “I knew we had very, very good salt deposits here in this area and so energy storage came to mind,” he said in a recent interview.
 “The Marguerite Lake substation happens to be sitting on the best salt formation and that's key for compressed air energy storage,” said Costley. “It's really perfect . . . it’s very deep and it’s very clean and we know that there's lots of salt caverns that have been developed in it [for oilfield waste].”
With compressed air storage, electric motor driven compressors are used to capture from the electrical grid the excess energy generated by renewables, storing the compressed air underground. Then, during hours of higher demand, the compressed air is withdrawn from storage, heated and routed to expansion turbines to generate electricity which goes back on the grid.
“You're taking a lot of electrical energy and turning it into mechanical energy,” he said. “And then you essentially reverse that if you want the power back on the grid.”
When the price of electricity falls as renewables are brought online, Federation would take power off the grid for storage and then return it to the grid as renewables come off and the price rises.
 “So it's just energy time shifting because wind and solar don't always produce at the right times of the day, you need another way to supplement it,” he said. While typically additional power is provided by peaking generation plants, according to Costley they are inefficient in terms of the amount of fuel burned for the power produced.
Costley said he hopes the project will encourage the development of more renewable energy in Alberta. “If you look at the AESO [Alberta Electric System Operator] project list, it's wind, solar, wind, solar and more wind, solar, which is fantastic,” he said. “So I hope our project complements theirs and it's a kind of a catalyst to bring more and more renewables online.”
Washing the cavern could take several years but once that is complete, based on the depth, it would have a storage capacity of about 500,000 cubic metres at 20,000 kPa. “That gives us 48 hours of energy storage at full capacity, which is significant,” said Costley. (The United States Department of Energy considers anything more than 10 hours long duration. Lithium batteries which can economically store energy for up to four hours are considered short duration).
At present, there are only two proven technologies for long duration energy storage: compressed air and pumped hydro, which is the more common. Turning Point Generation already has regulatory approval for the Canyon Creek project, a planned pumped hydro energy storage facility near Hinton, Alberta. Costley said he is not aware of any other compressed air storage projects in Alberta, although one has been operating in McIntosh, Alabama since 1991 and another in Huntorf, Germany since 1978.
The first phase of Federation’s proposed storage project would consist of a single 125-megawatt compressor train (charge) and two 160-megawatt expander trains (discharge) with an estimated price tag of $400 million. The target in-service date is Sept. 30, 2025.
Siemens Energy would provide the majority of the surface equipment for the proposed project. The site provides a perfect match for the Siemens Energy SXT-800 compressor and expander technology which is specifically designed for compressed air up to 20,585 kPa, according to Costley. The compressor trains can ramp up compression by 30 per cent per minute, achieving a full load in four minutes, allowing rapid change in response to fluctuation in available power, which is well suited to intermittent power.
 Each expansion train can produce between 16 megawatts and 160 megawatts of power with a 20 per cent ramp up per minute. The plant can achieve full generation in less than 10 minutes of a request for dispatch.
The AESO in its 2021 long-term outlook notes that energy storage technologies have gained momentum in Alberta and are expected to continue to contribute to the operation of the power grid into the future. In its Clean Tech scenario, AESO forecasts there will be 1,520 megawatts of total storage capacity, including 75 megawatts of pumped hydro storage, by 2041. Storage is expected to exploit energy arbitrage and ancillary service opportunities, according to the report.
AESO currently is working with stakeholders on an energy storage roadmap as to how it can adjust the tariff structure to allow energy storage to compete in the marketplace, said Costley. “So we're of course watching that as that will make a big effect on the economics and the timing of the project.”
 Federation has already submitted applications to Alberta Energy and Alberta Environment and Parks for sub-surface and surface leases and to AESO for system access service. It also will need an approval from the Alberta Utilities Commission (AUC).
“We felt we had identified a great opportunity as far as this project site location so we really kind of wanted to jump on the opportunity and start advancing through the regulatory process,” he said. “We have the power infrastructure, we have highway access and we have the salt formation.”
Federation currently is finalizing the project economic model/forecast and soon will be soliciting potential project development partners.
 
","Tuesday, September 28, 2021, 6 AM MDT",Elsie Ross
Chevron In Hydrogen JV With Magnum Development And Mitsubishi Power | Daily Oil Bulletin ,"
Chevron U.S.A. Inc., through its Chevron New Energies division, has agreed on a framework to acquire an equity interest in ACES Delta, LLC, which is a joint venture between Mitsubishi Power Americas Inc. and Magnum Development, LLC that owns the Advanced Clean Energy Storage project.
This project will produce, store and transport green hydrogen at utility scale for power generation, transportation and industrial applications in the western United States.
The joint venture is located in Delta, Utah, adjacent to the Intermountain Power Plant, which will use green hydrogen to produce electricity with lower life cycle carbon emissions.
Future anticipated projects include the expansion of green hydrogen supply to other western states and the construction of connecting hydrogen infrastructure to build a regional hydrogen production, transportation and supply network.
Chevron is working to build demand for hydrogen — and the technologies that support it — in heavy-duty transportation and industrial sectors in which greenhouse gas emissions are hard to abate.
ACES Delta is co-owned by Magnum, which is a Haddington Ventures portfolio company, and Mitsubishi Power. Chevron, Magnum and Mitsubishi Power are negotiating definitive documentation outlining Chevron’s participation in the joint venture. The terms of this transaction are subject to the negotiation of definitive agreements, and closing of the transaction will be subject to customary closing conditions.
","Thursday, September 9, 2021, 6:31 AM MDT", 
Schlumberger New Energy In Agreement with EnerVenue For Metal-Hydrogen Stationary Energy Storage | Daily Oil Bulletin ,"
Schlumberger New Energy announced an investment and collaboration agreement to deploy EnerVenue’s nickel-hydrogen battery technology, which is a key enabler of stationary energy storage solutions.
Schlumberger New Energy and EnerVenue will work together to progress large-scale deployment of nickel-hydrogen battery technology across selected global markets.
“Energy storage solutions are critical to the evolution of the energy mix as the energy transition demands greater contribution from renewable sources,” said the company. “The focus on expanding electrification is accelerating the need for large scale deployment of safe, cost effective, sustainable and reliable stationary energy storage solutions.
“There is a rapidly growing market for such solutions across utility-scale grid storage, off-grid commercial and industrial storage, and residential sectors.”
","Wednesday, September 8, 2021, 6:38 AM MDT", 
Refiner Phillips 66 Weighs Broader Move Into Electric Vehicle Batteries | Daily Oil Bulletin ,"
 (Reuters) — Phillips 66 is weighing a broader move into developing battery components for electric vehicles and storage systems, according to top executives, leveraging its own and others' research.
Phillips 66, which gets the bulk of its profits from processing oil into gasoline, diesel and petrochemicals, has become one of the largest supplies of a graphite used to make a key component in electric vehicles. It recently formed an ""emerging energy"" unit to explore new markets for hydrogen and low-carbon fuels.
""The U.S. refining business in the future is going to be smaller, not bigger,"" chief executive Greg Garland told reporters at its headquarters on Monday.
Battery research and partnerships would pivot beyond its small but lucrative materials business. Phillips 66's existing business — supplying materials for companies building graphite anodes for EV batteries — has been valued at more than $1 billion. The anode is about 10 per cent to 15 per cent of a lithium-ion battery's cost.
""We want to play a larger role in the value chain,"" said chief operating officer Mark Lashier. ""We are still looking at the entire chain and how to best integrate that.""
Lashier, who holds a PhD in chemistry, became Phillips 66's second-in-command in April after running the Chevron-Phillips Chemical joint venture since 2017. The company also is building EV charging and hydrogen refueling stations in Europe.
""There is going to be a battery supply chain in North America, a battery supply chain in Europe,"" said Garland. ""That's an opportunity for us: To take a raw material competitive advantage and lever that further down the value chain in batteries.""
Phillips 66 this week said it invested $150 million to buy a 16 per cent stake in Novonix Ltd., an Australian company that processes refinery byproducts into synthetic graphite for EV batteries.
Earlier it struck a technology deal with U.K.-based Faradion Ltd. to develop materials for sodium-ion batteries, another type of advanced batteries for energy storage and back-up power.
The agreements give Phillips 66 insight into key battery developments that it can use to build its business, said Lashier.
","Tuesday, August 10, 2021, 12 AM MDT", 
Hydrostor Secures $10-Million From BDC To Support The Rollout Of Long-Duration Energy Projects Globally | Daily Oil Bulletin ,"
Hydrostor has secured $10 million of growth capital from BDC Capital to advance its pipeline of long-duration Advanced Compressed Air Energy Storage (A-CAES) projects.
This news comes after Hydrostor’s recent public announcements of A-CAES projects in California and Australia totaling more than 1,200 MW under active and advanced development stages. Around the world, long-duration energy storage is becoming a critical component for countries to achieve their decarbonization targets by supporting more renewables entering the grid, noted the company.
The financing will be used to accelerate key near-term milestones on projects in North America and Australia, with active projects expected to reach final investment decisions in the next 12 - 18 months. Hydrostor currently has a total pipeline of projects in various stages of development internationally, aggregating to more than 6 GW and 65 GWh of long-duration storage.
","Wednesday, August 4, 2021, 8:53 AM MDT", 
"Battery Metals Supply Chain Presents Significant Opportunity For Canadian Industry, Says New BMAC Report | Daily Oil Bulletin ","

Surging demand for lithium-ion batteries to power electric vehicles (EVs) and for energy storage applications could drive major economic growth across Canada, says a new report from the Battery Metals Association of Canada (BMAC).
The BMAC report, entitled Maximizing Canada’s Battery Metals Sector, looks at how Canada can build a thriving “mines to mobility” supply chain to capture this growing opportunity.
Based on a virtual workshop held in late March that brought together leaders from all segments of the battery metals supply chain, the report examines current and potential markets in mining, chemical production, battery components, battery cell manufacturing, end-use applications, and recycling. It also presents views from workshop participants on the barriers to growing each segment of the supply chain, along with potential solution pathways to overcome these barriers.
Demand for production from all segments of the supply chain is expected to grow exponentially, according to the World Economic Forum. Raw material demand for critical metals is expected to grow by a factor of 6-24 by 2030 depending on the metal. Demand for refining and processing is expected to grow 14-fold in the same period. The battery components market is expected to expand 15- fold, with cell production growing 19-fold. Recycling capacities will increase by a factor of more than 25.
The growth in demand across the supply chain has the potential to create annual revenues of $300 billion in 2030, an eight-fold increase from today.
Canada has all the necessary ingredients to capture a share of this market, according to the BMAC report.
Canada is a global leader in mining and has resources of all key critical minerals. Some of the major challenges to build out supply include the often-remote locations of new resources, long exploration and development lead-times, access to capital, and regulatory challenges.
The country is already a leader in refined nickel production and is working to increase its capacity for cobalt, graphite, lithium, and other rare earth element processing with plants in the planning stage. These facilities will be able to directly supply cathode and anode manufacturers as the next value-added stage of the battery supply chain.
Asia currently dominates the battery cell manufacturing space with nearly 80% of the global manufacturing capacity. However, Canada has made recent advances in cell manufacturing. Lion Electric, a manufacturer of all-electric trucks and buses, is currently building a $185 million battery manufacturing plant and innovation center in Quebec that will allow the electrification of approximately 14,000 medium and heavy-duty vehicles annually.
GM, Ford Motors and Fiat Chrysler have all committed to building EVs in Canada, with the sum of their announced investments totaling $5.75 billion. It also has several domestic EV manufacturers.
Canada also has numerous companies engaged in battery recycling. Li-cycle is ramping up to build the largest lithium-ion battery recycling plant in North America with a network of hubs to increase capacity to serve North American, European and Asian markets.
Building on this technology base across the supply chain is going to require lots of expertise, says Jim Parsons, VP of Business Development for Spartan Controls, a sponsor of the BMAC workshop and report. Spartan has a long history as a supplier of technology solutions to the oil and gas industry. Parsons says it can play a similar role in helping move the battery metals sector forward.
“We joined BMAC because battery metals are critical to decarbonizing.  Accelerating growth and success in this nascent Canadian industry will require partners who can bring modern, sustainable capabilities and expertise,” he says. “It wasn’t long ago when a new type, of energy production growth took off in Alberta; we supported emerging companies commercializing operations then, and we feel a responsibility to bring that expertise to this important new industry.”
Caralyn Bennett, executive vice-president and chief strategy officer of GLJ Ltd., shares this perspective. GLJ Ltd. provides a variety of technical information and consulting services to help the oil and gas and mining sectors identify and evaluate opportunities, improve business strategies, and attract sustained investment. Bennett says GLJ plans on working with the battery metals sector to speed its development and ensure it competitiveness.
“GLJ is excited to be part of the grassroots development of the Canadian battery metals industry,” she says. “Canada’s prolific natural resources and talented workforce position all of us for success. We look forward to working with our clients to de-risk their resource assessments and feasibility studies, aimed at accelerating their path to success.”
BMAC will build upon workshop results to help amplify and connect voices across the Canadian supply chain and to advance a vision for the battery metals industry, from mining to end use and recycling.
Sponsors of the workshop were: E3 Metals, Fluor Canada, GLJ Inc., Matrix Solutions, McCarthy Tétrault, and Spartan Controls.
Download the report here.



The Battery Metals Association of Canada (BMAC) is a trade organization of entrepreneurs, explorers, developers and producers of battery metals and materials, who have joined together to support a rapidly changing energy landscape.
","Wednesday, July 28, 2021, 10 AM MDT",Darrell Stonehouse
TC Energy Reaches Agreement With National Defence To Develop Proposed Pumped Storage Project | Daily Oil Bulletin ,"
TC Energy Corporation has reached agreement with the Department of National Defence that, subject to conditions and regulatory approval, allows for the development of a transformative 1,000-megawatt clean energy storage project on federal lands.
The Ontario Pumped Storage Project, proposed to be constructed on Department of National Defence’s 4th Canadian Division Training Centre property by TC Energy, would be Ontario’s largest energy storage project, optimizing the province’s electricity system and is estimated to deliver more than $250 million in annual savings to electricity consumers.
A multibillion-dollar private sector investment, over the next eight years, the project would result in approximately 1,000 jobs during development and construction. Once operating, it would provide emission-free electricity for the province, while reducing greenhouse gas emissions by an expected 490,000 tonnes — the equivalent of removing 150,000 cars from Ontario roads.
TC Energy will continue to consult with the Saugeen Ojibway Nation and other Indigenous rightsholders and communities, and engage with local communities and other interested stakeholders to assess potential impacts and economic benefits as the company advances the next phase of project development — including provincial and federal environmental and impact assessments.
Advancement of the project remains subject to a number of conditions, including approval of the company’s board of directors, regulatory approvals, and assurances that the project would not impact military activities and training.
","Wednesday, July 28, 2021, 8:39 PM MDT", 
New B.C. Clean Energy Centre Invests In Tech Such As CCUS; Shell Canada Offers Its Support | Daily Oil Bulletin ,"
The federal and British Columbia governments, as well as Shell Canada Limited, are committing $35 million each towards a new B.C. Centre for Innovation and Clean Energy, collaborating to decarbonize the economy and scale up clean energy.
The centre is scheduled to launch in autumn 2021.
“We need meaningful action not just today, but every day as we go forward, for this generation and future generations to meet the challenges of moving from a future that is less reliant on fossil fuels and more focused on clean innovative changes to how we do business — not just here in British Columbia and in Canada, but indeed around the world,” Premier John Horgan told a news conference Friday morning.
He added: “We have massive issues to deal with, and the only way we’ll find solutions is if we’re all in it together. Today is a step forward for B.C. and Canada to say to industry, not-for-profits and post-secondary institutions: ‘We’re ready to go. Are you?’ They are, and we can now start to do the incubation.”
Federal funding will go towards the centre’s innovative projects, while provincial and Shell’s funding will leverage additional public and private-sector investments and participation.
“It’s heartwarming to hear the commitment to workers, the commitment to livelihoods, and the commitment to do something about climate change,” said Susannah Pierce, president and country chair, Shell Canada. “We’ve seen the devastating impacts of the pandemic, but we’ve also seen the devastating impacts of climate change today, which is why bold, urgent action [is needed] by government, industry such as ourselves, and all of us.”
Established as a member-based, non-profit corporation operating independent from government and private entities, the centre’s initial focus areas for funding and project delivery will include carbon capture, utilization and storage (CCUS), the production, use and distribution of low-carbon hydrogen, biofuels and synthetic fuels (including marine and aviation fuels), renewable natural gas, and battery technology, storage and energy management systems.
The centre will bring together innovators, industry, governments and academics to accelerate commercialization and the scale-up of provincial-based clean-energy technologies. The centre will also be a catalyst for new partnerships and world-leading innovation to deliver near-term and long-term carbon emission reductions.
Further, the centre will initiate new technology pathways to accelerate larger reductions on the path to net-zero emissions by 2050. Its intent is to attract a wide range of companies and partners that share a common focus on low-carbon innovation and scaling up B.C.-based clean-energy technology.
“It is our hope that this centre for innovation and clean energy will act as a catalyst, accelerating transformative changes within the province and energy system in targeted areas that support the B.C. government’s CleanBC plan,” Pierce said, adding there is a critical opportunity to invest in new technologies, partnering with government, industry, academia, rural and Indigenous communities, consumers and environmental groups to combat climate change.
“We are challenging other likeminded businesses and companies to join us to maximize the diversity and impact of this centre. More than ever, we must work together to help accelerate climate solutions that scale across society.”
As part of Budget 2021 and delivered through Natural Resources Canada’s Energy Innovation Program, the federal contribution to the centre will advance clean-energy technologies that help Canada meet its climate change targets.
“Our government is committed to reducing Canada’s emissions while, at the same time, creating good quality jobs and building a greener, more resilient economy,” said Carla Qualtrough, federal minister of Employment, Workforce Development and Disability Inclusion. She added: “This centre reflects our government’s own vision for investing in new technologies and cleaner fuels that will deliver our low-carbon future.”
The centre also is part of the StrongerBC for Everyone Recovery Plan — a plan that aims to protect people’s health and livelihoods while supporting businesses and communities. According to Horgan, a centre location could potentially be at UBC or Simon Fraser University, particularly at the Surrey campus. “Over the next weeks and months, we’ll be working on where we’re going to be, who the board will be, and how many partners we’ll have.”
","Friday, July 16, 2021, 1:34 PM MDT",Carter Haydu
Quidnet Energy And ERA Partner To Develop Energy Storage Resource | Daily Oil Bulletin ,"
Quidnet Energy and Emissions Reduction Alberta (ERA), with funding from the Alberta government, have launched a project to develop an ultra-low-cost, multi-gigawatt (GW) geologic energy storage resource in Alberta, using Quidnet’s modular pumped hydro storage technology.
Quidnet said the Alberta project, which takes a step toward reliable renewable energy in the province, is a key part of its mission to accelerate decarbonization by developing and deploying similar-scaled geologic storage resources in major wholesale electricity markets throughout North America.
The project has received $5 million in funding from ERA and will take place at Quidnet's geologic test site in Brooks, Alta.
Quidnet’s geomechanical pumped storage (GPS) technology stores energy in the form of water compressed between layers of shale and enables renewable energy projects to store excess energy for extended periods of time, to be released when the grid needs power.
The company’s technology provides balance to the grid and optimizes utilization of transmission infrastructure for delivering renewable generation to load centers for grid decarbonization, it said.
“Renewable power resources, such as solar projects, work best when their output can be stored until the grid needs it,” said Joe Zhou, CEO of Quidnet Energy CEO. “Quidnet Energy's modular pumped storage technology provides the long-duration energy storage that can make widespread use of renewable resources reliable and effective.”
Steve MacDonald, CEO of ERA, said: “Quidnet’s technology is building on the innovation and technical expertise of Alberta’s oil and gas industry to help solve a key challenge with renewable energy: the need for reliable and long-term energy storage. This project is another example of Alberta taking action to develop the solutions the world needs to achieve its emissions reduction goals.”
Quidnet is developing energy storage projects in Texas, Ohio and New York .
With per-kilowatt installed costs projected at less than 50 percent of batteries and traditional pumped storage, the Quidnet Energy systems can be configured for applications with 10-hours or more of storage duration, it said. The modular design allows it to be scaled to the needs of specific projects and built on a diverse array of terrain.
“Quidnet’s GPS technology is a novel form of hydroelectric energy storage. It uses time-tested well-drilling and construction technologies to pump water under pressure into subsurface geologic formations to store energy. When the stored energy is needed, the water is released to drive hydroelectric turbines to power the electric grid,” Zhou explained.
With successful completion of the project, Quidnet would look to deploy GPS facilities across the Alberta power grid, including near solar and wind power facilities.
","Friday, June 18, 2021, 6 AM MDT", 
